Instituto Nacional para el Federalismo y el Desarrollo Municipal

Base de datos de Presidentas y Presidentes Municipales 

estado,municipio,id_estado,id_municipio,cve_inegi,nombre,ap_paterno,ap_materno,sexo,partido,integrantes,descripcion,pdo_gob_ini,pdo_gob_fin,direccion,pag_web,cve_lada,telefono,total_pob,hombres,mujeres
"Aguascalientes","Aguascalientes","1","1","01001","LEONARDO","MONTA—EZ†","CASTRO","H","COAL.","PAN-PRD","POR AGUASCALIENTES","2021-10-15","2024-10-14","PRESIDENCIA MUNICIPAL PLAZA DE LA PATRIA Y CALLE COLON S/N, CENTRO AGUASCALIENTES, AGS. C.P. 20000","http://www.ags.gob.mx ","449","9-10-10-10 EXT. 1011; 9-10-10-11; 9-10-10-01","948990","462073","486917"
"Aguascalientes","Asientos","1","2","01002","JOS… MANUEL","GONZ¡LEZ","MOTA","H","MORENA","","MORENA","2021-10-15","2024-10-14","PRESIDENCIA MUNICIPAL PLAZA JU¡REZ # 3, ZONA CENTRO, ASIENTOS, AGS. C.P. 20710","http://www.asientos.gob.mx","496","9-67-40-15; 9-67-40-56; 9-67-40-29 EXT. 1","51536","25261","26275"
"Aguascalientes","Calvillo","1","3","01003","DANIEL","ROMO","URRUTIA","H","COAL.","PAN-PRD","POR AGUASCALIENTES","2021-10-15","2024-10-14","PRESIDENCIA MUNICIPAL PLAZA PRINCIPAL S/N, CENTRO, CALVILLO, AGS. C.P. 20800","http://","495","9-56-00-39; 9-56-00-75; EXT. 5036","58250","28563","29687"
"Aguascalientes","CosÌo","1","4","01004","EUSEBIO ENRIQUE","DELGADO","ESPARZA","H","PVEM","","PARTIDO VERDE ECOLOGISTA DE M…XICO ","2021-10-15","2024-10-14","PRESIDENCIA MUNICIPAL PLAZA JUAREZ S/N, ZONA CENTRO, COSIO, AGS. C.P. 20460","http://","458","9-87-09-40; 9-87-13-42 EXT. 1","17000","8292","8708"
"Aguascalientes","Jes˙s MarÌa","1","5","01005","JOS… ANTONIO","ARAMBULA","L”PEZ","H","COAL.","PAN-PRD","POR AGUASCALIENTES","2021-10-15","2024-10-14","PRESIDENCIA MUNICIPAL EMILIANO ZAPATA # 109, COL. CENTRO, JESUS MARIA, AGS. C.P. 20900","http://www.jesusmaria.gob.mx","449","9-65-00-88 EXT. 1069","129929","64219","65710"
"Aguascalientes","PabellÛn de Arteaga","1","6","01006","HUMBERTO","AMBRÕZ†","DELGADILLO","H","PRI","","PARTIDO REVOLUCIONARIO INSTITUCIONAL ","2021-10-15","2024-10-14","PRESIDENCIA MUNICIPAL CALLE PINO SUAREZ # 14, ZONA CENTRO, PABELLON DE ARTEAGA, AGS. C.P. 20660","http://www.municipiopabellonags.gob.mx","465","9-58-01-16 EXT. 2","47646","23377","24269"
"Aguascalientes","RincÛn de Romos","1","7","01007","FRANCISCO JAVIER","RIVERA†","LUEVANO","H","COAL.","PT-MORENA-PNAAGUA","JUNTOS HAREMOS HISTORIA AGUASCALIENTES","2021-10-15","2024-10-14","PRESIDENCIA MUNICIPAL CALLE HIDALGO # 20, ZONA CENTRO, RINCON DE ROMOS, AGS. C.P. 20400","http://www.rinconderomos.gob.mx","465","9-51-04-03","57369","28101","29268"
"Aguascalientes","San JosÈ de Gracia","1","8","01008","ARMANDO","RODRÕGUEZ†","DOMÕNGUEZ","H","FXM","","FUERZA POR M…XICO","2021-10-15","2024-10-14","PRESIDENCIA MUNICIPAL JUAN DOMINGUEZ # 101, CENTRO, SAN JOSE DE GRACIA, AGS. C.P. 20576","http://www.sanjosedegracia.gob.mx","465","9-67-50-92","9552","4532","5020"
"Aguascalientes","Tepezal·","1","9","01009","LETICIA","OLIVARES†","JIM…NEZ","M","PVEM","","PARTIDO VERDE ECOLOGISTA DE M…XICO ","2021-10-15","2024-10-14","PRESIDENCIA MUNICIPAL JUAREZ # 1, ZONA CENTRO, TEPEZALA, AGS. C.P. 20602","http://www.tepezala.gob.mx","465","9-51-20-29; 9-51-11-10 EXT.102","22485","11114","11371"
"Aguascalientes","El Llano","1","10","01010","CEZAR","PEDROZA†","ORTEGA","H","COAL.","PT-MORENA-PNAAGUA","JUNTOS HAREMOS HISTORIA AGUASCALIENTES","2021-10-15","2024-10-14","PRESIDENCIA MUNCIPAL 20 DE NOV. # 103, ZONA CENTRO, EL LLANO, AGS. C.P. 20330","http://www.municipiodeelllano.gob.mx/","496","9-67-35-87","20853","10446","10407"
