anio	descripcion	titular	fecha	cartel	presidente
1975	Operación Cóndor. Despliegue del Ejército mexicano para destrucción de cultivos de mariguana en México.	Operación Cóndor	noviembre de 1975	nacional	
1984	Operación Rancho Búfalo. Fuerzas federales destruyen plantíos de mariguana y decomisan la cantidad de droga más grande hasta entonces. Ocurre en un rancho propiedad de Rafael Caro Quintero.	Operación Rancho Búfalo	9 de noviembre de 1984	nacional	
1985	Asesinato del agente de la DEA Enrique Camarena. Se responsabiliza a Caro Quintero.	Asesinato de Enrique Camarena	9 de febrero de 1985	nacional	
1985	Desaparece la Dirección Federal de Seguridad (DFS), que dependía del Presidente y vigilaba temas de seguridad nacional. Se crea la Dirección General de Investigación y Seguridad Nacional (DGISN) que asume algunas funciones de la DFS.	Se crea la Dirección General de Investigación	1985	nacional	
1988	Se crea la Subprocuraduría de Investigación y Lucha contra el Narcotráfico. Después se convertiría en la Coordinación de Investigación y Lucha contra el Narcotráfico.	Se crea una Subrpocuraduría para investigar al narco	1988	nacional	
1989	La Dirección General de Investigación y Seguridad Nacional se convierte en el Centro de Investigación y Seguridad Nacional (Cisen), la agencia de inteligencia mexicana.	Se crea el Cisen	13 de febrero de 1989	nacional	
1992	Se publica el decreto que crea el Centro de Planificación para el Control de Drogas (Cendro). Se reconoce por primera vez que el tema de las drogas pone en riesgo a la sociedad mexicana, la seguridad nacional y la relación con otra naciones.	Se reconoce que el narco pone en riesgo al país	26 de junio de 1992	nacional	
1993	Asesinato del Cardenal Juan Jesús Posadas Ocampo en el aeropuerto de Guadalajara. Fallece cuando pistorelos del cártel de Tijuana intentan emboscar al 'Chapo'.	Asesinato del Cardenal Posadas Ocampo	24 de mayo de 1993	nacional	
1993	La Coordinación de Investigación y Lucha contra el Narcotráfico se transforma en el Instituto Nacional contra las Drogas (INDC), órgano técnico desconcentrado de la PGR. Se fusiona con el Cendro.	Se crea el Instituo Nacional Contra las Drogas	1993	nacional	
1997	Detención del General Jesús Gutiérrez Rebollo en instalaciones de la Sedena, por vínculos con el Cártel de Juárez. Fue recluído al penal de La Palma. Era titular del INCD.	Primera detención de un General por narcotráfico	2 de febrero de 1997	nacional	
1997	Tras la detención de Jesús Gutiérrez Rebollo, primer general vinculado al narco, se crea la Fiscalía Especializada en Delitos contra la Salud.	Se crea la Fiscalía de Delitos contra la Salud	1997	nacional	
2000	Se publica el decreto para crear la Secretaría de Seguridad Pública (SSP). Absorbe las funciones de seguridad que antes pertenecían a la Secretaría de Gobernación como la responsabilidad de la Policía Federal Preventiva y del Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública, la facultad de regular y autorizar la portación de armas y la Presidencia del Consejo Nacional de Seguridad Pública.	Se crea la Secretaría de Seguridad Pública	30 de noviembre de 2000	nacional	
2001	Detención del exgobernador de Quintana Roo, Mario Villanueva, por nexos con el Cártel de Juárez.	Cae por narcotráfico el exgobernador de Quintana Roo	24 de mayo de 2001	nacional	
2003	La Fiscalía Especializada en Delitos contra la Salud se transforma en la Subprocuraduría de Investigaciones Especializadas en Delincuencia Organizada (SIEDO) y lo que queda del Cendro deriva en el Centro Nacional de Planeación, Análisis e Información para el Combate a la Delincuencia (Cenapi).	Se crea la SIEDO	2003	nacional	
2005	Operativo México Seguro contra el crimen organizado. Participan Segob, SSP, Sedena, Semar, SHCP y PGR. Inicia en Nuevo Laredo, Tamaulipas.	Se lanza el operativo México Seguro	11 de junio de 2005	nacional	
2006	Tras la llegada de Felipe Calderón Hinojosa a la presidencia, se anuncia el Operativo Conjunto Michoacán.	Operativo Conjunto Michoacán	11 de diciembre de 2006	nacional	FCH
2007	Operativo Conjunto Tijuana.	Operativo Conjunto Tijuana	2 de enero de 2007	nacional	
2007	Operativo Conjunto Guerrero I.	Operativo conjunto Guerrero	15 de enero de 2007	nacional	
2007	Operativo Conjunto Triángulo Dorado (Sinaloa, Durango, Chihuahua).	Operativo Conjunto Triángulo Dorado	22 de enero de 2007	nacional	
2007	PGR decomisa 205 millones de dólares en efectivo en una casa del DF. Se señala como responsable a Zhenli Ye Gon, por tráfico de pseudoefedrina.	Detención de Zhenli Ye Gon	15 de marzo de 2007	nacional	
2008	Operativo Conjunto Noreste (Tamaulipas y Nuevo León).	Operativo Conjunto Noreste	1 de enero de 2008	nacional	
2008	Operativo Conjunto Chihuahua (Ciudad Juárez).	Operativo Conjunto Chihuahua	28 de marzo de 2008	nacional	
2008	Operativo Conjunto Sinaloa.	Operativo Conjunto SInaloa	14 de mayo de 2008	nacional	
2008	Asesinato de Édgar Millán, coordinador general de Seguridad Regional y Proximidad Social de la Policía Federal Preventiva.	Asesinan a un coordinador de la Policía Federal Preventiva	8 de mayo de 2008	nacional	
2008	Se lanzan granadas en la celebración de la Independencia en Morelia, Michoacán. Fallecen siete personas y hay 130 heridos.	Granadazos en Morelia	15 de septiembre 2008	nacional	
2008	Fallece Juan Camilo Mouriño, secretario de Gobernación, en un accidente aéreo.	Muere Juan Camilo Mouriño	4 de noviembre de 2008	nacional	
2008	Iniciativa Mérida. Acuerdo entre México y Estados Unidos para la entrega de apoyos financieros en el combate al crimen organizado.	Se crea la Iniciativa Mérida	Diciembre de 2008	nacional	
2009	Operativo Federal conocido como el 'Michoacanazo'. Se detiene a 38 funcionarios acusados de vínculos con el crimen organizado. Todos quedan libres.	El "michoacanazo"	26 de mayo de 2009	nacional	
2010	Operación Noreste en Tamaulipas y Nuevo León.	Operación Noreste	1 de enero de 2010	nacional	
2010	Atentado contra jóvenes chihuahuenses que estaban reunidos en una fiesta en la colonia Villas de Salvárcar. Fallecen 17.	Atentado de Villas de Salvárcar	31 de enero de 2010	nacional	
2010	Lanzamiento del Programa Todos Somos Juárez. Como parte de las actividades, se ordenó la retirada paulatina del Ejército de labores de seguridad pública, para ser sustituido por la Policía Federal.	Programa Todos Somos Juárez	17 de febrero de 2010	nacional	
2010	Tres personas vinculadas al consulado de Estados Unidos en Ciudad Juárez, Chihuahua, son asesinadas. Las autoridades mexicanas atribuyeron el crimen a la célula delictiva de 'Los Aztecas'.	Asesinan a tres trabajadores del Consulado de EU en Juárez	13 de marzo de 2010	nacional	
2010	Dos estudiantes del Tec de Monterrey son asesinados en el campus a manos de militares.	Militares asesinan a estudiantes del Tec de Monterrey	21 de marzo de 2010	nacional	
2010	Extradición a Estados Unidos del exgobernador de Quintana Roo, Mario Villanueva.	Extraditan al exgobernador de Quintana Roo	8 de mayo de 2010	nacional	
