entidad_a,orgapoli_b,orgapoli_c,sexostt,sexos1,sexos2
1,1,1,2,2,0
1,1,2,NA,NA,NA
1,1,3,NA,NA,NA
1,1,4,0,0,0
1,1,5,NA,NA,NA
1,2,6,0,0,0
1,2,7,0,0,0
1,3,8,0,0,0
2,1,1,8,7,1
2,1,2,0,0,0
2,1,3,0,0,0
2,1,4,0,0,0
2,1,5,NA,NA,NA
2,2,6,0,0,0
2,2,7,0,0,0
2,3,8,0,0,0
3,1,1,NA,NA,NA
3,1,2,NA,NA,NA
3,1,3,NA,NA,NA
3,1,4,NA,NA,NA
3,1,5,NA,NA,NA
3,2,6,NA,NA,NA
3,2,7,NA,NA,NA
3,3,8,NA,NA,NA
4,1,1,4,4,0
4,1,2,0,0,0
4,1,3,0,0,0
4,1,4,0,0,0
4,1,5,0,0,0
4,2,6,0,0,0
4,2,7,1,0,1
4,3,8,0,0,0
5,1,1,3,3,0
5,1,2,0,0,0
5,1,3,0,0,0
5,1,4,0,0,0
5,1,5,4,4,0
5,2,6,0,0,0
5,2,7,1,1,0
5,3,8,0,0,0
6,1,1,15,14,1
6,1,2,0,0,0
6,1,3,0,0,0
6,1,4,0,0,0
6,1,5,NA,NA,NA
6,2,6,0,0,0
6,2,7,0,0,0
6,3,8,0,0,0
7,1,1,29,26,3
7,1,2,5,5,0
7,1,3,9,9,0
7,1,4,0,0,0
7,1,5,NA,NA,NA
7,2,6,1,1,0
7,2,7,3,3,0
7,3,8,0,0,0
8,1,1,14,12,2
8,1,2,3,3,0
8,1,3,0,0,0
8,1,4,0,0,0
8,1,5,0,0,0
8,2,6,0,0,0
8,2,7,2,2,0
8,3,8,0,0,0
9,1,1,209,195,14
9,1,2,7,5,2
9,1,3,292,272,20
9,1,4,3,3,0
9,1,5,NA,NA,NA
9,2,6,10,10,0
9,2,7,69,53,16
9,3,8,0,0,0
10,1,1,8,7,1
10,1,2,0,0,0
10,1,3,0,0,0
10,1,4,0,0,0
10,1,5,0,0,0
10,2,6,0,0,0
10,2,7,0,0,0
10,3,8,0,0,0
11,1,1,23,23,0
11,1,2,1,1,0
11,1,3,0,0,0
11,1,4,0,0,0
11,1,5,NA,NA,NA
11,2,6,0,0,0
11,2,7,0,0,0
11,3,8,0,0,0
12,1,1,43,42,1
12,1,2,1,1,0
