entidad_a,rangedad_a,orgpoltt,orgpol1,orgpol2,orgpol3,orgpol4,orgpol5,orgpol6,orgpol7,orgpol8,orgpol9,orgpol10,orgpol11,orgpol12,orgpol13,orgpol14,orgpol15,orgpol16,orgpol17,orgpol18
1,1,1,1,0,1,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0
1,2,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0
1,3,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0
1,4,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0
1,5,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0
1,6,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0
1,7,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0
1,8,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0
1,9,1,1,0,1,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0
1,10,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0
1,99,,,,,,,,,,,,,,,,,,,
2,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
2,2,1,1,0,1,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
2,3,1,1,0,1,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
2,4,2,2,0,2,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
2,5,2,1,1,1,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
2,6,1,1,0,1,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
2,7,1,1,0,1,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
2,8,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
2,9,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
2,10,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
2,99,,,,,,,,,,,,,,,,,,,
3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,99,,,,,,,,,,,,,,,,,,,
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,6,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,7,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,9,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,99,,,,,,,,,,,,,,,,,,,
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,7,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,99,,,,,,,,,,,,,,,,,,,
6,1,1,1,0,1,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
6,2,1,1,0,1,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
6,3,2,2,0,2,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
6,4,1,1,0,1,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
6,5,6,5,1,5,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
6,6,3,3,0,3,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
6,7,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
6,8,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
6,9,1,1,0,1,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
6,10,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
6,99,,,,,,,,,,,,,,,,,,,
7,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
7,2,1,0,1,0,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
7,3,1,0,1,0,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
7,4,1,1,0,1,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
7,5,5,5,0,3,0,0,0,1,0,0,0,NA,NA,1,0,0,0,0,0
7,6,8,7,1,5,1,0,0,2,0,0,0,NA,NA,0,0,0,0,0,0
7,7,4,4,0,0,0,1,0,1,0,0,0,NA,NA,0,0,2,0,0,0
7,8,15,15,0,10,0,2,0,2,0,0,0,NA,NA,0,0,1,0,0,0
7,9,12,12,0,7,0,2,0,3,0,0,0,NA,NA,0,0,0,0,0,0
7,10,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
7,99,,,,,,,,,,,,,,,,,,,
8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,4,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4,4,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
