entidad_a,momfalle_a,orgpoltt,orgpol1,orgpol2,orgpol3,orgpol4,orgpol5,orgpol6,orgpol7,orgpol8,orgpol9,orgpol10,orgpol11,orgpol12,orgpol13,orgpol14,orgpol15,orgpol16,orgpol17,orgpol18
1,1,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0
1,2,2,2,0,2,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0
1,3,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0
1,9,,,,,,,,,,,,,,,,,,,
2,1,2,2,0,2,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
2,2,6,5,1,5,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
2,9,,,,,,,,,,,,,,,,,,,
3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,9,,,,,,,,,,,,,,,,,,,
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,5,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,9,,,,,,,,,,,,,,,,,,,
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,8,8,0,3,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0
5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,9,,,,,,,,,,,,,,,,,,,
6,1,9,9,0,9,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
6,2,6,5,1,5,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
6,3,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
6,9,,,,,,,,,,,,,,,,,,,
7,1,1,1,0,1,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
7,2,46,43,3,25,3,5,0,9,0,0,0,NA,NA,1,0,3,0,0,0
7,3,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
7,9,,,,,,,,,,,,,,,,,,,
8,1,6,5,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,13,12,1,8,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0
8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9,,,,,,,,,,,,,,,,,,,
9,1,11,9,2,5,2,0,0,2,0,1,0,NA,NA,1,0,0,0,0,0
9,2,579,529,50,190,12,5,2,270,20,2,0,NA,NA,9,0,53,16,0,0
9,3,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
9,9,,,,,,,,,,,,,,,,,,,
10,1,8,7,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,9,,,,,,,,,,,,,,,,,,,
11,1,15,15,0,15,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
11,2,9,9,0,8,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0
11,3,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
11,9,,,,,,,,,,,,,,,,,,,
12,1,19,18,1,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2,37,37,0,24,0,1,0,8,0,0,0,0,0,1,0,3,0,0,0
12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,9,,,,,,,,,,,,,,,,,,,
13,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
13,2,22,21,1,4,1,3,0,11,0,0,0,0,0,0,0,0,0,3,0
13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,9,,,,,,,,,,,,,,,,,,,
