entidad_a,cafallec_c,orgpoltt,orgpol1,orgpol2,orgpol3,orgpol4,orgpol5,orgpol6,orgpol7,orgpol8,orgpol9,orgpol10,orgpol11,orgpol12,orgpol13,orgpol14,orgpol15,orgpol16,orgpol17,orgpol18
1,100,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0
1,101,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0
1,102,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0
1,199,,,,,,,,,,,,,,,,,,,
1,200,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0
1,300,1,1,0,1,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0
1,400,1,1,0,1,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0
1,500,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0
1,600,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0
1,9999,,,,,,,,,,,,,,,,,,,
2,100,2,2,0,2,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
2,101,2,2,0,2,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
2,102,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
2,199,,,,,,,,,,,,,,,,,,,
2,200,1,1,0,1,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
2,300,1,1,0,1,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
2,400,4,3,1,3,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
2,500,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
2,600,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
2,9999,,,,,,,,,,,,,,,,,,,
3,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,199,,,,,,,,,,,,,,,,,,,
3,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,9999,,,,,,,,,,,,,,,,,,,
4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,199,,,,,,,,,,,,,,,,,,,
4,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,400,5,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,9999,,,,,,,,,,,,,,,,,,,
5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,199,,,,,,,,,,,,,,,,,,,
5,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,300,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,400,6,6,0,2,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0
5,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,9999,,,,,,,,,,,,,,,,,,,
6,100,9,9,0,9,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
6,101,9,9,0,9,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
6,102,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
6,199,,,,,,,,,,,,,,,,,,,
6,200,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
6,300,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
6,400,6,5,1,5,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
6,500,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
6,600,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
6,9999,,,,,,,,,,,,,,,,,,,
7,100,3,3,0,2,0,0,0,0,0,0,0,NA,NA,0,0,1,0,0,0
7,101,3,3,0,2,0,0,0,0,0,0,0,NA,NA,0,0,1,0,0,0
7,102,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
7,199,,,,,,,,,,,,,,,,,,,
7,200,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
7,300,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
7,400,44,41,3,24,3,5,0,9,0,0,0,NA,NA,1,0,2,0,0,0
7,500,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
