entidad_a,objutico_a,homsui1,homsui2,homsui3,homsuis1,homsui5,homsui6,homsuis2,homsui8,homsui9,homsui14,homsui15,homsui16
1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0,0,0,0,0,0
1,3,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0,0,0,0,0,0,0,0,0,0,0,0
1,5,0,0,0,0,0,0,0,0,0,0,0,0
1,6,0,0,0,0,0,0,0,0,0,0,0,0
1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,9,,,,,,,,,,,,
2,1,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0,0,0,0
2,4,0,0,0,0,0,0,0,0,0,0,0,0
2,5,0,0,0,0,0,0,0,0,0,0,0,0
2,6,0,0,0,0,0,0,0,0,0,0,0,0
2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,9,,,,,,,,,,,,
3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,9,,,,,,,,,,,,
4,1,0,0,0,0,0,0,0,0,0,0,0,0
4,2,0,0,0,0,0,0,0,0,0,0,0,0
4,3,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0,0,0,0,0,0,0,0,0,0,0,0
4,5,0,0,0,0,0,0,0,0,0,0,0,0
4,6,0,0,0,0,0,0,0,0,0,0,0,0
4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,9,,,,,,,,,,,,
5,1,0,0,0,0,0,0,0,0,0,0,0,0
5,2,0,0,0,0,0,0,0,0,0,0,0,0
5,3,0,0,0,0,0,0,0,0,0,0,0,0
5,4,0,0,0,0,0,0,0,0,0,0,0,0
5,5,0,0,0,0,0,0,0,0,0,0,0,0
5,6,0,0,0,0,0,0,0,0,0,0,0,0
5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,9,,,,,,,,,,,,
6,1,0,0,0,0,0,0,0,0,0,0,0,0
6,2,0,0,0,0,0,0,0,0,0,0,0,0
6,3,0,0,0,0,0,0,0,0,0,0,0,0
6,4,0,0,0,0,0,0,0,0,0,0,0,0
6,5,0,0,0,0,0,0,0,0,0,0,0,0
6,6,0,0,0,0,0,0,0,0,0,0,0,0
6,7,7,7,0,7,7,0,0,0,0,0,0,0
6,9,,,,,,,,,,,,
7,1,0,0,0,0,0,0,0,0,0,0,0,0
7,2,0,0,0,0,0,0,0,0,0,0,0,0
7,3,0,0,0,0,0,0,0,0,0,0,0,0
7,4,0,0,0,0,0,0,0,0,0,0,0,0
7,5,0,0,0,0,0,0,0,0,0,0,0,0
7,6,0,0,0,0,0,0,0,0,0,0,0,0
7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,9,,,,,,,,,,,,
8,1,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,0,0,0,0,0,0,0,0,0,0,0
8,3,0,0,0,0,0,0,0,0,0,0,0,0
8,4,0,0,0,0,0,0,0,0,0,0,0,0
8,5,0,0,0,0,0,0,0,0,0,0,0,0
8,6,0,0,0,0,0,0,0,0,0,0,0,0
8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,9,,,,,,,,,,,,
9,1,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,0,0,0,0,0,0,0,0,1,1,0
9,3,0,0,0,0,0,0,0,0,0,0,0,0
9,4,0,0,0,0,0,0,0,0,0,0,0,0
9,5,0,0,0,0,0,0,0,0,0,0,0,0
9,6,0,0,0,0,0,0,0,0,0,0,0,0
9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,9,,,,,,,,,,,,
10,1,0,0,0,0,0,0,0,0,0,0,0,0
10,2,0,0,0,0,0,0,0,0,0,0,0,0
10,3,0,0,0,0,0,0,0,0,0,0,0,0
10,4,0,0,0,0,0,0,0,0,0,0,0,0
10,5,0,0,0,0,0,0,0,0,0,0,0,0
10,6,0,0,0,0,0,0,0,0,0,0,0,0
10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,9,,,,,,,,,,,,
11,1,0,0,0,0,0,0,0,0,0,0,0,0
11,2,0,0,0,0,0,0,0,0,0,0,0,0
11,3,0,0,0,0,0,0,0,0,0,0,0,0
11,4,0,0,0,0,0,0,0,0,0,0,0,0
11,5,0,0,0,0,0,0,0,0,0,0,0,0
11,6,0,0,0,0,0,0,0,0,0,0,0,0
11,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,9,,,,,,,,,,,,
12,1,0,0,0,0,0,0,0,0,0,0,0,0
12,2,1,1,0,1,1,0,0,0,0,0,0,0
12,3,0,0,0,0,0,0,0,0,0,0,0,0
12,4,0,0,0,0,0,0,0,0,0,0,0,0
12,5,0,0,0,0,0,0,0,0,0,0,0,0
12,6,0,0,0,0,0,0,0,0,0,0,0,0
12,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,9,,,,,,,,,,,,
13,1,0,0,0,0,0,0,0,0,0,0,0,0
13,2,0,0,0,0,0,0,0,0,0,0,0,0
13,3,0,0,0,0,0,0,0,0,0,0,0,0
13,4,0,0,0,0,0,0,0,0,0,0,0,0
13,5,0,0,0,0,0,0,0,0,0,0,0,0
13,6,0,0,0,0,0,0,0,0,0,0,0,0
13,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,9,,,,,,,,,,,,
14,1,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
14,2,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
14,3,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
14,4,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
14,5,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
14,6,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
14,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,9,,,,,,,,,,,,
15,1,0,0,0,0,0,0,0,0,0,0,0,0
15,2,0,0,0,0,0,0,0,0,0,0,0,0
15,3,0,0,0,0,0,0,0,0,0,0,0,0
15,4,0,0,0,0,0,0,0,0,0,0,0,0
15,5,0,0,0,0,0,0,0,0,0,0,0,0
15,6,0,0,0,0,0,0,0,0,0,0,0,0
15,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,9,,,,,,,,,,,,
16,1,0,0,0,0,0,0,0,0,0,NSS,NSS,0
16,2,0,0,0,0,0,0,0,0,0,NSS,NSS,0
16,3,0,0,0,0,0,0,0,0,0,NSS,NSS,0
16,4,0,0,0,0,0,0,0,0,0,NSS,NSS,0
16,5,0,0,0,0,0,0,0,0,0,NSS,NSS,0
16,6,0,0,0,0,0,0,0,0,0,NSS,NSS,0
16,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,9,,,,,,,,,,,,
17,1,0,0,0,0,0,0,0,0,0,0,0,0
17,2,0,0,0,0,0,0,0,0,0,0,0,0
17,3,0,0,0,0,0,0,0,0,0,0,0,0
17,4,0,0,0,0,0,0,0,0,0,0,0,0
17,5,0,0,0,0,0,0,0,0,0,0,0,0
17,6,0,0,0,0,0,0,0,0,0,0,0,0
17,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,9,,,,,,,,,,,,
18,1,0,0,0,0,0,0,0,0,0,0,0,0
18,2,0,0,0,0,0,0,0,0,0,0,0,0
18,3,0,0,0,0,0,0,0,0,0,0,0,0
18,4,0,0,0,0,0,0,0,0,0,0,0,0
18,5,0,0,0,0,0,0,0,0,0,0,0,0
18,6,0,0,0,0,0,0,0,0,0,0,0,0
18,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,9,,,,,,,,,,,,
19,1,0,0,0,0,0,0,0,0,0,0,0,0
19,2,0,0,0,0,0,0,0,0,0,0,0,0
19,3,0,0,0,0,0,0,0,0,0,0,0,0
19,4,0,0,0,0,0,0,0,0,0,0,0,0
19,5,0,0,0,0,0,0,0,0,0,0,0,0
19,6,0,0,0,0,0,0,0,0,0,0,0,0
19,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,9,,,,,,,,,,,,
20,1,0,0,0,0,0,0,0,0,0,0,0,0
20,2,0,0,0,0,0,0,0,0,0,0,0,0
20,3,0,0,0,0,0,0,0,0,0,0,0,0
20,4,0,0,0,0,0,0,0,0,0,0,0,0
20,5,0,0,0,0,0,0,0,0,0,0,0,0
20,6,0,0,0,0,0,0,0,0,0,0,0,0
20,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
20,9,,,,,,,,,,,,
21,1,0,0,0,0,0,0,0,0,0,0,0,0
21,2,0,0,0,0,0,0,0,0,0,0,0,0
21,3,0,0,0,0,0,0,0,0,0,0,0,0
21,4,0,0,0,0,0,0,0,0,0,0,0,0
21,5,0,0,0,0,0,0,0,0,0,0,0,0
21,6,0,0,0,0,0,0,0,0,0,0,0,0
21,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,9,,,,,,,,,,,,
22,1,0,0,0,0,0,0,0,0,0,NSS,NSS,0
22,2,0,0,0,0,0,0,0,0,0,NSS,NSS,0
22,3,0,0,0,0,0,0,0,0,0,NSS,NSS,0
22,4,0,0,0,0,0,0,0,0,0,NSS,NSS,0
22,5,0,0,0,0,0,0,0,0,0,NSS,NSS,0
22,6,0,0,0,0,0,0,0,0,0,NSS,NSS,0
22,7,0,0,0,0,0,0,0,0,0,NSS,NSS,0
22,9,,,,,,,,,,,,
23,1,0,0,0,0,0,0,0,0,0,0,0,0
23,2,0,0,0,0,0,0,0,0,0,0,0,0
23,3,0,0,0,0,0,0,0,0,0,0,0,0
23,4,0,0,0,0,0,0,0,0,0,0,0,0
23,5,0,0,0,0,0,0,0,0,0,0,0,0
23,6,0,0,0,0,0,0,0,0,0,0,0,0
23,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,9,,,,,,,,,,,,
24,1,0,0,0,0,0,0,0,0,0,0,0,0
24,2,0,0,0,0,0,0,0,0,0,0,0,0
24,3,0,0,0,0,0,0,0,0,0,0,0,0
24,4,0,0,0,0,0,0,0,0,0,0,0,0
24,5,0,0,0,0,0,0,0,0,0,0,0,0
24,6,0,0,0,0,0,0,0,0,0,0,0,0
24,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,9,,,,,,,,,,,,
25,1,0,0,0,0,0,0,0,0,0,0,0,0
25,2,0,0,0,0,0,0,0,0,0,0,0,0
25,3,0,0,0,0,0,0,0,0,0,0,0,0
25,4,0,0,0,0,0,0,0,0,0,0,0,0
25,5,0,0,0,0,0,0,0,0,0,0,0,0
25,6,0,0,0,0,0,0,0,0,0,0,0,0
25,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,9,,,,,,,,,,,,
26,1,0,0,0,0,0,0,0,0,0,0,0,0
26,2,0,0,0,0,0,0,0,0,0,0,0,0
26,3,0,0,0,0,0,0,0,0,0,0,0,0
26,4,0,0,0,0,0,0,0,0,0,0,0,0
26,5,0,0,0,0,0,0,0,0,0,0,0,0
26,6,0,0,0,0,0,0,0,0,0,0,0,0
26,7,0,0,0,0,0,0,0,0,0,0,0,0
26,9,,,,,,,,,,,,
27,1,0,0,0,0,0,0,0,0,0,0,0,0
27,2,0,0,0,0,0,0,0,0,0,0,0,0
27,3,0,0,0,0,0,0,0,0,0,0,0,0
27,4,0,0,0,0,0,0,0,0,0,0,0,0
27,5,0,0,0,0,0,0,0,0,0,0,0,0
27,6,0,0,0,0,0,0,0,0,0,0,0,0
27,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,9,,,,,,,,,,,,
28,1,0,0,0,0,0,0,0,0,0,0,0,0
28,2,0,0,0,0,0,0,0,0,0,0,0,0
28,3,0,0,0,0,0,0,0,0,0,0,0,0
28,4,0,0,0,0,0,0,0,0,0,0,0,0
28,5,0,0,0,0,0,0,0,0,0,0,0,0
28,6,0,0,0,0,0,0,0,0,0,0,0,0
28,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,9,,,,,,,,,,,,
29,1,0,0,0,0,0,0,0,0,0,0,0,0
29,2,0,0,0,0,0,0,0,0,0,0,0,0
29,3,0,0,0,0,0,0,0,0,0,0,0,0
29,4,0,0,0,0,0,0,0,0,0,0,0,0
29,5,0,0,0,0,0,0,0,0,0,0,0,0
29,6,0,0,0,0,0,0,0,0,0,0,0,0
29,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,9,,,,,,,,,,,,
30,1,0,0,0,0,0,0,0,0,0,0,0,0
30,2,0,0,0,0,0,0,0,0,0,0,0,0
30,3,0,0,0,0,0,0,0,0,0,0,0,0
30,4,0,0,0,0,0,0,0,0,0,0,0,0
30,5,0,0,0,0,0,0,0,0,0,0,0,0
30,6,0,0,0,0,0,0,0,0,0,0,0,0
30,7,6,5,1,0,0,0,6,5,1,0,0,0
30,9,,,,,,,,,,,,
31,1,0,0,0,0,0,0,0,0,0,0,0,0
31,2,0,0,0,0,0,0,0,0,0,0,0,0
31,3,0,0,0,0,0,0,0,0,0,0,0,0
31,4,0,0,0,0,0,0,0,0,0,0,0,0
31,5,0,0,0,0,0,0,0,0,0,0,0,0
31,6,0,0,0,0,0,0,0,0,0,0,0,0
31,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,9,,,,,,,,,,,,
32,1,0,0,0,0,0,0,0,0,0,0,0,0
32,2,0,0,0,0,0,0,0,0,0,0,0,0
32,3,0,0,0,0,0,0,0,0,0,0,0,0
32,4,0,0,0,0,0,0,0,0,0,0,0,0
32,5,0,0,0,0,0,0,0,0,0,0,0,0
32,6,0,0,0,0,0,0,0,0,0,0,0,0
32,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,9,,,,,,,,,,,,
