entidad_a,ubicageo_c,municip1,evefaltt,evefal1,evefal2,evefal3,evefal4,evefal5,evefal6,evefal7,evefal8,evefal9,evefal10,evefal11,evefal12,evefal13,evefal14,evefal15,evefal16
1,1001,AGUASCALIENTES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
1,1002,ASIENTOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
1,1003,CALVILLO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
1,1004,COSÍO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
1,1005,JESÚS MARÍA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
1,1006,PABELLÓN DE ARTEAGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
1,1007,RINCÓN DE ROMOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
1,1008,SAN JOSÉ DE GRACIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
1,1009,TEPEZALÁ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
1,1010,EL LLANO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
1,1011,SAN FRANCISCO DE LOS ROMO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
1,1997,NO ESPECIFICADO,,,,,,,,,,,,,,,,,
1,1999,NO IDENTIFICADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
2,2001,ENSENADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
2,2002,MEXICALI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
2,2003,TECATE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
2,2004,TIJUANA,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,NA,NA
2,2005,PLAYAS DE ROSARITO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
2,2006,SAN QUINTÍN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
2,2997,NO ESPECIFICADO,,,,,,,,,,,,,,,,,
2,2999,NO IDENTIFICADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
3,3001,COMONDÚ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3002,MULEGÉ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3003,LA PAZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3008,LOS CABOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3009,LORETO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3997,NO ESPECIFICADO,,,,,,,,,,,,,,,,,
3,3999,NO IDENTIFICADO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,4001,CALKINÍ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
4,4002,CAMPECHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
4,4003,CARMEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
4,4004,CHAMPOTÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
4,4005,HECELCHAKÁN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
4,4006,HOPELCHÉN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
4,4007,PALIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
4,4008,TENABO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
4,4009,ESCÁRCEGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
4,4010,CALAKMUL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
4,4011,CANDELARIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
4,4997,NO ESPECIFICADO,,,,,,,,,,,,,,,,,
4,4999,NO IDENTIFICADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,5001,ABASOLO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,5002,ACUÑA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,5003,ALLENDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,5004,ARTEAGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,5005,CANDELA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,5006,CASTAÑOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,5007,CUATRO CIÉNEGAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,5008,ESCOBEDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,5009,FRANCISCO I. MADERO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,5010,FRONTERA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,5011,GENERAL CEPEDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,5012,GUERRERO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,5013,HIDALGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,5014,JIMÉNEZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,5015,JUÁREZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,5016,LAMADRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,5017,MATAMOROS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,5018,MONCLOVA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,5019,MORELOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,5020,MÚZQUIZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,5021,NADADORES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,5022,NAVA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,5023,OCAMPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,5024,PARRAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,5025,PIEDRAS NEGRAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,5026,PROGRESO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,5027,RAMOS ARIZPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,5028,SABINAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,5029,SACRAMENTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,5030,SALTILLO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,5031,SAN BUENAVENTURA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,5032,SAN JUAN DE SABINAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,5033,SAN PEDRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,5034,SIERRA MOJADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,5035,TORREÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,5036,VIESCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,5037,VILLA UNIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,5038,ZARAGOZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,5997,NO ESPECIFICADO,,,,,,,,,,,,,,,,,
5,5999,NO IDENTIFICADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
6,6001,ARMERÍA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6002,COLIMA,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6003,COMALA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6004,COQUIMATLÁN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6005,CUAUHTÉMOC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6006,IXTLAHUACÁN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6007,MANZANILLO,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
6,6008,MINATITLÁN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6009,TECOMÁN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6010,VILLA DE ÁLVAREZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6997,NO ESPECIFICADO,,,,,,,,,,,,,,,,,
6,6999,NO IDENTIFICADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7001,ACACOYAGUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7002,ACALA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7003,ACAPETAHUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7004,ALTAMIRANO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7005,AMATÁN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7006,AMATENANGO DE LA FRONTERA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7007,AMATENANGO DEL VALLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7008,ANGEL ALBINO CORZO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7009,ARRIAGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7010,BEJUCAL DE OCAMPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7011,BELLA VISTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7012,BERRIOZÁBAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7013,BOCHIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7014,EL BOSQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7015,CACAHOATÁN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7016,CATAZAJÁ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7017,CINTALAPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7018,COAPILLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7019,COMITÁN DE DOMÍNGUEZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7020,LA CONCORDIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7021,COPAINALÁ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7022,CHALCHIHUITÁN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7023,CHAMULA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7024,CHANAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7025,CHAPULTENANGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7026,CHENALHÓ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7027,CHIAPA DE CORZO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7028,CHIAPILLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7029,CHICOASÉN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7030,CHICOMUSELO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7031,CHILÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7032,ESCUINTLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7033,FRANCISCO LEÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7034,FRONTERA COMALAPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7035,FRONTERA HIDALGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7036,LA GRANDEZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7037,HUEHUETÁN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7038,HUIXTÁN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7039,HUITIUPÁN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7040,HUIXTLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7041,LA INDEPENDENCIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7042,IXHUATÁN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7043,IXTACOMITÁN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7044,IXTAPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,7045,IXTAPANGAJOYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
