"Category","Hombre","Mujer","Indeterminado"
"1.CIFRA SIN  AÑO DE REFERENCIA",21073,18605,330
"1921",1,0,0
"1962",1,0,0
"1964",2,0,0
"1965",1,0,0
"1966",1,0,0
"1967",3,0,0
"1968",2,1,0
"1969",5,0,0
"1970",3,0,0
"1971",17,0,0
"1972",31,7,0
"1973",29,2,0
"1974",304,16,3
"1975",51,8,2
"1976",83,10,0
"1977",116,10,2
"1978",53,14,2
"1979",16,3,0
"1980",16,2,0
"1981",30,5,0
"1982",14,2,0
"1983",10,2,0
"1984",10,0,0
"1985",14,2,0
"1986",6,1,0
"1987",16,0,0
"1988",10,3,0
"1989",18,6,0
"1990",6,2,0
"1991",11,5,0
"1992",16,8,0
"1993",18,5,1
"1994",31,5,0
"1995",19,12,0
"1996",20,11,0
"1997",28,3,0
"1998",38,9,0
"1999",32,5,0
"2000",55,13,0
"2001",79,30,0
"2002",105,55,0
"2003",97,43,0
"2004",104,47,0
"2005",168,75,0
"2006",355,252,0
"2007",1534,1454,4
"2008",1892,1313,3
"2009",2833,1947,3
"2010",5207,2245,1
"2011",6863,4077,6
"2012",6591,4251,5
"2013",9485,8214,10
"2014",9409,8556,12
"2015",7381,6375,11
"2016",8543,6569,15
"2017",10391,7026,45
"2018",10615,6590,93
"2019",14769,8767,256
"2020",14118,9221,31
"2021",14347,8774,7
"2022",13258,8402,23
"2023",4985,3415,15
