"Category","Personas (x)","Personas (y)"
"Hidalgo",0,
1,1,
"Baja California",2,
"Baja California Sur",3,
"Sonora",4,
"Colima",5,
"Nayarit",6,
"Campeche",7,
"Quintana Roo",8,
"México",9,
"Morelos",10,
"Distrito Federal",11,
"Querétaro",12,
"Tabasco",13,
"Chiapas",14,
"Nuevo León",15,
"Sinaloa",16,
"Chihuahua",17,
"Veracruz",18,
"Zacatecas",19,
"Aguascalientes",20,
"Jalisco",21,
"Michoacán",22,
"Oaxaca",23,
"Puebla",24,
"Guerrero",25,
"Tlaxcala",26,
"Tamaulipas",27,
"Coahuila",28,
"Yucatán",29,
"Durango",30,
"Guanajuato",31,
"San Luis Potosí",32,
