"Category","Hombre","Mujer","Indeterminado"
"AGUASCALIENTES",1993,2655,2
"BAJA CALIFORNIA",2941,2171,5
"BAJA CALIFORNIA SUR",1177,551,4
"CAMPECHE",528,761,2
"COAHUILA",3420,1243,10
"COLIMA",2311,1857,4
"CHIAPAS",2390,3079,1
"CHIHUAHUA",8522,5060,4
"CIUDAD DE MEXICO",7361,5764,309
"DURANGO",1947,1395,3
"GUANAJUATO",7800,8102,230
"GUERRERO",4300,1652,17
"HIDALGO",1810,2018,5
"JALISCO",18261,5492,20
"ESTADO DE MEXICO",22792,25881,18
"MICHOACAN ",6163,2444,4
"MORELOS",2835,2567,5
"NAYARIT",2177,896,8
"NUEVO LEON",10033,7015,4
"OAXACA",1670,2303,8
"PUEBLA",5926,6507,5
"QUERETARO ",1544,1301,1
"QUINTANA ROO",1328,1474,2
"SAN LUIS POTOSI",1836,1408,5
"SINALOA",9742,2895,5
"SONORA",4698,2289,6
"TABASCO",385,536,2
"TAMAULIPAS",13288,6048,22
"TLAXCALA",358,396,2
"VERACRUZ ",8461,4465,44
"YUCATAN",2712,4300,0
"ZACATECAS",3949,1631,1
"SE DESCONOCE",681,319,122
