"Category","Autoridad","Particular"
"AGUASCALIENTES",6,24
"BAJA CALIFORNIA",80,344
"BAJA CALIFORNIA SUR",34,36
"CAMPECHE",2,18
"COAHUILA",88,136
"COLIMA",65,47
"CHIAPAS",38,97
"CHIHUAHUA",46,189
"CIUDAD DE MEXICO",90,1799
"DURANGO",18,36
"GUANAJUATO",90,267
"GUERRERO",38,120
"HIDALGO",64,110
"JALISCO",82,556
"ESTADO DE MEXICO",125,1509
"MICHOACAN ",47,212
"MORELOS",23,80
"NAYARIT",29,32
"NUEVO LEON",39,160
"OAXACA",45,86
"PUEBLA",14,180
"QUERETARO ",9,150
"QUINTANA ROO",350,216
"SAN LUIS POTOSI",120,77
"SINALOA",92,102
"SONORA",154,194
"TABASCO",89,46
"TAMAULIPAS",201,319
"TLAXCALA",3,44
"VERACRUZ ",105,255
"YUCATAN",3,26
"ZACATECAS",54,66
"SE DESCONOCE",6,35
