"Category","Desaparecidos","No localizados","Localizados con vida","Localizados sin vida"
"AGUASCALIENTES",282,105,4154,109
"BAJA CALIFORNIA",2321,59,2659,78
"BAJA CALIFORNIA SUR",751,173,720,88
"CAMPECHE",116,35,1125,15
"COAHUILA",3314,397,715,247
"COLIMA",1386,118,2421,247
"CHIAPAS",503,740,4112,115
"CHIHUAHUA",2414,1130,9210,832
"CIUDAD DE MEXICO",5026,456,7655,297
"DURANGO",639,166,2374,166
"GUANAJUATO",2789,41,12829,473
"GUERRERO",4046,61,1490,372
"HIDALGO",495,339,2803,196
"JALISCO",14439,587,7444,1303
"ESTADO DE MEXICO",10321,1750,34683,1937
"MICHOACAN ",4869,400,3014,328
"MORELOS",1496,330,3308,273
"NAYARIT",1398,475,1102,106
"NUEVO LEON",4404,2040,9835,773
"OAXACA",441,179,3273,88
"PUEBLA",1727,868,9186,657
"QUERETARO ",326,202,2150,168
"QUINTANA ROO",724,195,1842,43
"SAN LUIS POTOSI",888,96,2138,127
"SINALOA",4939,731,5660,1312
"SONORA",4485,52,2283,173
"TABASCO",224,30,641,28
"TAMAULIPAS",12041,665,6034,618
"TLAXCALA",112,15,579,50
"VERACRUZ ",7377,30,5117,446
"YUCATAN",268,74,6477,193
"ZACATECAS",1862,1731,1695,293
"SE DESCONOCE",951,13,147,11
