"Category","Iniciados SU","Actualizados SU","Iniciados CM","Actualizados CM"
"AGUASCALIENTES",198,154,0,0
"BAJA CALIFORNIA",487,185,0,0
"BAJA CALIFORNIA SUR",762,656,98,0
"CAMPECHE",420,354,0,0
"COAHUILA",709,559,0,0
"COLIMA",99,35,0,0
"CHIAPAS",141,138,0,0
"CHIHUAHUA",21,94,0,0
"CIUDAD DE MEXICO",1830,1954,18,0
"DURANGO",7,35,0,0
"GUANAJUATO",842,464,0,0
"GUERRERO",6,15,0,0
"HIDALGO",1286,1213,0,0
"JALISCO",4724,4188,1719,243
"ESTADO DE MEXICO",11545,10144,2889,2
"MICHOACAN ",1087,561,162,2
"MORELOS",1596,1135,30,0
"NAYARIT",624,634,465,0
"NUEVO LEON",8775,7555,1402,0
"OAXACA",42,38,0,0
"PUEBLA",1423,1169,0,0
"QUERETARO ",2,275,59,0
"QUINTANA ROO",0,0,0,0
"SAN LUIS POTOSI",2137,1552,502,1
"SINALOA",2990,1677,0,0
"SONORA",338,327,0,0
"TABASCO",4,15,17,0
"TAMAULIPAS",0,7,234,7
"TLAXCALA",543,503,0,0
"VERACRUZ ",1163,1029,4721,5
"YUCATAN",1,1,0,0
"ZACATECAS",36,15,0,0
"COMISIÓN NACIONAL DE BÚSQUEDA",3661,11425,2311,20
