"Category","Iniciados SU","Actualizados SU","Iniciados CM","Actualizados CM"
"AGUASCALIENTES",54,46,1616,0
"BAJA CALIFORNIA",407,12,0,0
"BAJA CALIFORNIA SUR",867,624,212,0
"CAMPECHE",169,163,33,0
"COAHUILA",29,10,976,235
"COLIMA",855,1870,921,0
"CHIAPAS",865,681,2993,105
"CHIHUAHUA",2,5,7548,1765
"CIUDAD DE MEXICO",1364,299,4407,0
"DURANGO",568,399,1407,0
"GUANAJUATO",34,355,1625,0
"GUERRERO",1383,975,910,0
"HIDALGO",252,447,1332,1
"JALISCO",6,4,13588,2702
"ESTADO DE MEXICO",165,847,22878,1264
"MICHOACAN ",1610,2068,3588,101
"MORELOS",0,5,2640,0
"NAYARIT",1550,943,537,1
"NUEVO LEON",3354,2054,1498,1124
"OAXACA",319,541,2988,0
"PUEBLA",5485,6540,2296,51
"QUERETARO ",789,1277,126,0
"QUINTANA ROO",399,306,503,9
"SAN LUIS POTOSI",38,29,953,67
"SINALOA",1658,1588,1576,1415
"SONORA",0,0,2619,1
"TABASCO",0,0,0,0
"TAMAULIPAS",2067,1206,6717,2831
"TLAXCALA",6,5,0,0
"VERACRUZ ",1413,1825,2832,13
"YUCATAN",568,859,5888,218
"ZACATECAS",4197,2290,701,71
"FISCALÍA GENERAL DE LA REPÚBLICA",843,122,1223,7
